X     .0000 1     .2500     .2500
     .0623   1.5095  .2929 2110.4 1461.  2.509 3300. 1.400 346.0  11.9638 1.000
     .0934   1.5095  .3003 2130.9 1425.  2.565 3300. 1.400 346.0  12.5140 1.000
     .1418   1.4118  .2743 2111.4 1459.  2.511 3300. 1.400 346.0  11.1494 1.000
     .1889   1.1286  .2051 1993.3 1560.  2.293 3201. 1.400 346.0   7.1933  .921
     .1914    .9583  .1803 2016.4 1507.  2.360 3186. 1.400 346.0   6.3434  .909
     .2372    .9828  .1512 1494.0 1843.  1.581 2765. 1.400 346.0   2.6748  .572
     .2842    .9900  .1601  859.7 1883.   .933 2211. 1.400 322.2    .7460  .215
     .3312    .9900  .4629   45.8  713.   .085  714. 1.400 294.3    .0050  .045
X    1.6391 1     .2789     .3288
     .0000   1.5251  .2824 2069.8 1531.  2.403 3300. 1.400 346.0  11.0845 1.000
     .0238   1.5251  .2825 2070.1 1531.  2.404 3300. 1.400 346.0  11.0908 1.000
     .0476   1.5251  .2878 2086.5 1502.  2.446 3300. 1.400 346.0  11.4883 1.000
     .0714   1.5251  .2972 2113.8 1455.  2.518 3300. 1.400 346.0  12.1873 1.000
     .0952   1.5251  .3025 2128.5 1429.  2.558 3300. 1.400 346.0  12.5862 1.000
     .1871   1.3913  .2528 2049.6 1561.  2.357 3295. 1.400 346.0   9.6338  .996
     .2776    .9973  .1264 1099.1 2236.  1.056 2735. 1.400 346.0   1.0270  .548
     .2801    .9900  .1240 1030.4 2264.   .984 2703. 1.400 346.0    .8492  .522
     .3038    .9900  .1185  765.3 2463.   .715 2714. 1.400 332.8    .4013  .279
     .3288    .9900  .2672   60.3 1200.   .085 1202. 1.400 302.8    .0050  .097
X    1.9828 2     .1795     .3323
     .0000   1.5251   .2879 2069.8 1531.  2.403 3300. 1.400 346.0  11.0845 1.000
     .0469   1.7959   .3318 2050.4 1564.  2.356 3300. 1.400 346.0  12.7055 1.000
     .0938   2.0667   .3764 2036.9 1587.  2.323 3300. 1.400 346.0  14.3689 1.000
     .1795    .9166   .2318 2067.2 1169.  2.778 2973. 1.400 338.3   8.5561  .739
     .1795    .9774   .2370 2038.0 1219.  2.682 2973. 1.400 338.3   8.5281  .739
     .2304    .9838   .2352 1777.8 1267.  2.323 2634. 1.400 330.3   6.3203  .467
     .2813    .9900   .2116  951.3 1446.  1.175 1846. 1.400 323.6   1.3236  .240
     .3323    .9900   .3167     .0  978.   .000  978. 1.400 319.5    .0000  .100
X    2.3265 2     .1259     .3355
     .0000    .9610   .2041 2167.2 1361.  2.669 3300. 1.400 346.0   8.2838 1.000
     .0321    .9610   .2063 2175.4 1346.  2.694 3300. 1.400 346.0   8.4473 1.000
     .0643    .9610   .2089 2184.6 1329.  2.722 3300. 1.400 346.0   8.6367 1.000
     .1259    .6636   .1761 2222.5 1100.  3.060 3159. 1.400 342.7   7.3233  .887
     .1260    .9276   .2235 2161.2 1211.  2.835 3159. 1.400 342.7   9.0507  .887
     .1635   1.0372   .2548 2043.3 1204.  2.707 2967. 1.400 338.2   9.2874  .734
     .2495    .9963   .2028 1433.5 1504.  1.729 2403. 1.400 326.6   3.3419  .341
     .3355    .9900   .3167     .0  978.   .000  978. 1.400 319.5    .0000  .100
X    2.6700 2     .0001     .3384
     .0000    .3482   .0926 2315.2 1087.  3.191 3300. 1.400 346.0   3.7382 1.000
     .0001    .8411   .1705 2130.4 1426.  2.563 3300. 1.400 346.0   6.5271 1.000
     .0543   1.1109   .2275 2135.2 1412.  2.582 3294. 1.400 346.0   9.0782  .995
     .1085   1.3807   .2976 2081.1 1354.  2.582 3159. 1.400 342.7  11.5230  .887
     .2234   1.1039   .2097 1497.6 1601.  1.744 2575. 1.400 328.9   3.8874  .420
     .3384    .9900   .3167     .0  978.   .000  978. 1.400 319.5    .0000  .100
X    2.6703 2     .0000     .3384
     .0000   1.7638   .3095 2000.9 1647.  2.240 3300. 1.400 346.0  11.2595 1.000
     .0000    .8411   .1845 2191.3 1317.  2.743 3300. 1.400 346.0   7.5582 1.000
     .0521    .8498   .2153 2284.6 1141.  3.073 3296. 1.400 346.0   9.7463  .997
     .1042    .8586   .2568 2298.9  975.  3.360 3175. 1.400 343.1  11.8943  .900
     .2213    .9517   .1944 1590.7 1487.  1.922 2585. 1.400 329.1   4.0039  .428
     .3384    .9900   .3167     .0  978.   .000  978. 1.400 319.5    .0000  .100
X    2.8762 2     .0768     .3401
     .0000   1.6066   .3064 2078.9 1516.  2.426 3300. 1.400 346.0  11.9600 1.000
     .0384   1.6029   .3063 2079.2 1513.  2.429 3297. 1.400 346.0  11.9564  .998
     .0768   1.5919   .3126 2057.6 1478.  2.437 3234. 1.400 344.4  11.9453  .947
     .0769    .8500   .2011 2199.9 1227.  2.860 3234. 1.400 344.4   8.3649  .947
     .1418    .6691   .2260 2229.4  875.  3.462 2974. 1.400 338.3   9.6530  .739
     .2409    .9453   .1939 1453.0 1492.  1.759 2416. 1.400 326.6   3.2479  .344
     .3401    .9900   .3167     .0  978.   .000  978. 1.400 319.5    .0000  .100
X    3.1109 2     .1681     .3418
     .0000   1.6917   .3198 2071.0 1529.  2.406 3300. 1.400 346.0  12.4360 1.000
     .0503   1.7130   .3249 2066.5 1524.  2.405 3287. 1.400 346.0  12.5934  .990
     .1092   1.6630   .3343 1999.1 1455.  2.395 3125. 1.400 341.9  12.0961  .860
